General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
28.6;;Shipping Type  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
28.7;;Shipping Type ;Language Test;ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
29.1;2603;Shipping Conditions;Change;;1-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
29.2;2603;Shipping Conditions;Create;;1-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
29.3;2603;Shipping Conditions ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
29.4;2603;Shipping Conditions ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
29.5;2603;Shipping Conditions  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
29.6;2603;Shipping Conditions  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
29.7;2603;Shipping Conditions ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
30.1;2603;Laboratory/office;Change;;3-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
30.2;2603;Laboratory/office;Create;;3-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
30.3;2603;Laboratory/office;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
30.4;2603;Laboratory/office;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
30.5;2603;Laboratory/office;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
30.6;2603;Laboratory/office;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
30.7;2603;Laboratory/office;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
31.1;;BOM Usage;Change;;3-Step;Low;;Ulla;;;;;;;;;;;;;;;;
31.2;;BOM Usage;Create;;3-Step;Low;;Ulla;;;;;;;;;;;;;;;;
31.3;;BOM Usage ;File Download / Upload;;General;Low;;Patrick;;;;;;;;;;;;;;;;
31.4;;BOM Usage ;Data Export / Import;;General;Low;;Patrick;;;;;;;;;;;;;;;;
31.5;;BOM Usage  ;Language Test;DE/EN;General;Low;;Ulla;;;;;;;;;;;;;;;;
31.6;;BOM Usage  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
31.7;;BOM Usage ;Language Test;ES;General;Medium;;Michael;;;;;;;;;;;;;;;;
32.1;2603;Document Type;Create;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
32.2;2603;Document Type;Change;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
32.3;2603;Document Type ;File Download / Upload;;General;Medium;error;Patrick;;1092;Exxon/Intel;;;;error;;;;;;;;;
32.4;2603;Document Type ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
32.5;2603;Document Type  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
32.6;2603;Document Type  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
32.7;2603;Document Type ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
33.1;2603;Chart of Account;Create;;1-Step;High;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
33.2;2603;Chart of Account;Change;;1-Step;High;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
33.3;2603;Chart of Account ;File Download / Upload;;General;High;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
33.4;2603;Chart of Account ;Data Export / Import;;General;High;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
33.5;2603;Chart of Account  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
33.6;2603;Chart of Account  ;Language Test;FR;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
33.7;2603;Chart of Account ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
34.1;2603;Operating Concern;Create;;3-Step;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
34.2;2603;Operating Concern;Change;;3-Step;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
34.3.;2603;Operating Concern ;File Download / Upload;;General;Low;open;Patrick;;;Intel;;;;;;;;;;;;;
34.4.;2603;Operating Concern ;Data Export / Import;;General;Low;open;Patrick;;;Intel;;;;;;;;;;;;;
34.5;2603;Operating Concern  ;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
34.6;2603;Operating Concern  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
34.7;2603;Operating Concern ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
35.1.;2603;Language;Create;;3-Step;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
35.2;2603;Language;Change;;3-Step;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
35.3;2603;Language ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
35.4;2603;Language ;Data Export / Import;;General;Very High;open;Patrick;;;Intel;;;;;;;;;;;;;
35.5;2603;Language;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
35.6;2603;Language;Language Test;FR;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
35.7;;;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
36.1;2603;Location (Asset?) ;Change;;2-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
36.2;2603;Location (Asset?);Create;;2-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
36.3;2603;Location (Asset?);File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
36.4;2603;Location (Asset?);Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
36.5;2603;Location (Asset?);Language Test;DE/EN;n.A.;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
36.6;2603;Location (Asset?);Language Test;FR/ES;General;Medium;open;Ulla;;;Intel;;;;;;;;;;;;;
36.7;;;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
37.1;;Exchange Rate ;Create;;2-Step;Very High;;Gerd;;;;;;;;;;;;;;;;
37.2;;Exchange Rate ;Change;;2-Step;Very High;;Thomas;;;;;;;;;;;;;;;;
37.2;;Exchange Rate ;Change;;General;Very High;;Thomas;;;;;;;;;;;;;;;;
37.3;;Exchange Rate ;Initial Load;;General;Very High;;Thomas;;;;;;;;;;;;;;;;
37.4;;Data Feed;n.A.;;General;Very High;;Thomas;;;;;;;;;;;;;;;;
37.5;;Exchange Rate  ;Language Test;DE/EN;General;Medium;;Ulla;;;;;;;;;;;;;;;;
37.6;;Exchange Rate  ;Language Test;FR/ES;General;Medium;;Ulla;;;;;;;;;;;;;;;;
37.7;;Exchange Rate ;Language Test;ES;General;Medium;;Michael;;;;;;;;;;;;;;;;
38.1;2603;Characteristics;Change;;General;Very High;error;Sabine;;1068;Intel;;;;error;done  ;done  ;;;;;;;
38.2;2603;Characteristics;Create;;General;Very High;error;Sabine;;1068;Intel;;;;error;done  ;done  ;;;;;;;
38.3;2603;Characteristics;Copy;;General;Very High;error;Sabine;;1068;Intel;;;;error;done  ;done  ;;;;;;;
38.4;2603;Characteristics ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
38.5;2603;Characteristics ;Load IDoc;;General;Low;open;Michael;;;Intel;;;;;;;;;;;;;
38.6;2603;Characteristics  ;Language Test;DE/EN;General;High;open;Ulla;;;Intel;;;;;;;;;;;;;
38.7;2603;Characteristics  ;Language Test;FR/ES;General;Medium;open;Ulla;;;Intel;;;;;;;;;;;;;
38.8;2603;Characteristics ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
39.1;2603;Classes;Change;;General;Very High;error;Sabine;;1069, 1066;Intel;;;;error;done  ;done  ;;;;;;;
39.2;2603;Classes;Create;;General;Very High;error;Sabine;;1069, 1066;Intel;;;;error;done  ;done  ;;;;;;;
39.3;2603;Classes;Copy;;General;Very High;open;Sabine;;;Intel;;;;;;;;;;;;;
39.4;2603;Classes;File Download / Upload;;General;High;open;Patrick;;1070;Intel;;;;in progress;;;;;;;;;
39.5;2603;Classes;Load IDoc;;General;Low;open;Michael;;;Intel;;;;;;;;;;;;;
39.6;2603;Classes;Language Test;DE/EN;General;High;open;Maxi;;;Intel;;;;;;;;;;;;;
39.7;2603;Classes;Language Test;FR/ES;General;Medium;open;Ulla;;;Intel;;;;;;;;;;;;;
39.8;2603;Classes ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
40.1;2603;MRP Type;Change;;2-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
40.2;2603;MRP Type;Create;;2-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
40.3;2603;MRP Type ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
40.4;2603;MRP Type ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
40.5;2603;MRP Type;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
40.6;2603;MRP Type;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
40.7;2603;MRP Type ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
41.1;2603;MRP Profile;Change;;3-Step;Low;error;Ulla;;see Open Topics;Intel;;;;error;open;open;open;open;open;open;open;open;
41.2;2603;MRP Profile;Create;;3-Step;Low;error;Ulla;;see Open Topics;Intel;;;;error;open;open;open;open;open;open;open;open;
41.3;2603;MRP Profile ;File Download / Upload;;General;Low;error;Patrick;;822;Intel;;;;error;;;;;;;;;
41.4;2603;MRP Profile ;Data Export / Import;;General;Low;open;Patrick;;;Intel;;;;;;;;;;;;;
41.5;2603;MRP Profile;Language Test;DE/EN;General;High;open;Ulla;;;Intel;;;;;;;;;;;;;
41.6;2603;MRP Profile;Language Test;FR;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
41.7;2603;MRP Profile ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
42.1;2603;MRP Area;Change;;General;High;open;Maxi;;;Intel;;;;;;;;;;;;;
42.2;2603;MRP Area;Create;;General;High;open;Maxi;;;Intel;;;;;;;;;;;;;
42.3;2603;MRP Area ;File Download / Upload;;General;High;error;Patrick;;1055, 1056;Intel;;;;error;;;;;;;;;
42.4;2603;MRP Area ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
42.5;2603;MRP Area;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
42.5;2603;MRP Area;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
42.7;2603;MRP Area ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
43.1;2603;Tax Code;Change;;General;High;open;Sabine;;;Intel;;;;;;;;;;;;;
43.2;2603;Tax Code;Create;;General;High;open;Sabine;;;Intel;;;;;;;;;;;;;
43.3;2603;Tax Code;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
43.4;2603;Tax Code ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
43.5;2603;Tax Code  ;Language Test;DE/EN;General;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
43.6;2603;Tax Code  ;Language Test;FR/ES;General;Medium;open;Ulla;;;Intel;;;;;;;;;;;;;
43.7;2603;Tax Code ;Language Test;ES;General;Medium;open;Michael;;;Intel;;;;;;;;;;;;;
44.1;2603;Valuation Class;Change;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
44.2;2603;Valuation Class;Create;;2-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
44.3;2603;Valuation Class ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
44.4;2603;Valuation Class ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
44.5;2603;Valuation Class  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
44.6;2603;Valuation Class  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
44.7;2603;Valuation Class ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
45.1;2603;Sales Office;Change;;General;Medium;open;Ulla;;;;;;;;;;;;;;;;
45.2;2603;Sales Office;Create;;General;Medium;open;Maxi;;;;;;;;;;;;;;;;
45.3;2603;Sales Office ;File Download / Upload;;General;Medium;error;Patrick;;1051;;;;;error;;;;;;;;;
45.4;2603;Sales Office ;Data Export / Import;;General;Medium;open;Patrick;;;;;;;;;;;;;;;;
45.5;2603;Sales Office  ;Language Test;DE/EN;General;Low;;Ulla;;;;;;;;;;;;;;;;
45.6;2603;Sales Office  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
45.7;2603;Sales Office ;Language Test;ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
46.1;;Scope of Planning;Change;;General;High;;Maxi;;;;;;;;;;;;;;;;
46.2;;Scope of Planning;Create;;General;High;;Maxi;;;;;;;;;;;;;;;;
46.3;;Scope of Planning ;File Download / Upload;;General;High;;Patrick;;;;;;;;;;;;;;;;
46.4;;Scope of Planning ;Data Export / Import;;General;High;;Patrick;;;;;;;;;;;;;;;;
46.5;;Scope of Planning  ;Language Test;DE/EN;General;Low;;Ulla;;;;;;;;;;;;;;;;
46.6;;Scope of Planning  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
46.7;2603;Scope of Planning for MRP Unit ;Language Test;ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
47.1;2603;MRP Controller;Change;;General;High;open;Maxi;;;Intel;;;;;;;;;;;;;
47.2;2603;MRP Controller;Create;;General;High;open;Maxi;;;Intel;;;;;;;;;;;;;
47.3;2603;MRP Controller;File Download / Upload;;2-Step;High;error;Patrick;;1052;Intel;;;;error;;;;;;;;;
47.4;2603;MRP Controller ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
47.5;2603;MRP Controller  ;Language Test;DE/EN;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
47.6;2603;MRP Controller  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
47.7;2603;MRP Controller ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
48.1;;Holiday Calendar;Change;;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
48.2;;Holiday Calendar;Create;;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
48.3;;Holiday Calendar;File Download / Upload;;n.A.;Medium;;Patrick;;;;;;;;;;;;;;;;
48.4;;Holiday Calendar ;Data Export / Import;;n.A.;Medium;;Patrick;;;;;;;;;;;;;;;;
48.5;;Holiday Calendar  ;Language Test;DE/EN/FR/ES;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
49.1;;Public Holiday;Change;;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
49.2;;Public Holiday;Create;;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
49.3;;Public Holiday;File Download / Upload;;n.A.;Medium;;Patrick;;;;;;;;;;;;;;;;
49.4;;Public Holiday ;Data Export / Import;;n.A.;Medium;;Patrick;;;;;;;;;;;;;;;;
49.5;;Public Holiday  ;Language Test;DE/EN/FR/ES;n.A.;Medium;;Maxi;;;;;;;;;;;;;;;;
50.1;2603;Work Breakdown Structure;Change;;;Very High;open;Sabine;;;;;;;;;;;;;;;;
50.2;2603;Work Breakdown Structure;Create;;;Very High;open;Sabine;;;;;;;;;;;;;;;;
50.3;2603;Work Breakdown Structure;File Download / Upload;;;Very High;open;Patrick;;;;;;;;;;;;;;;;
50.4;2603;Work Breakdown Structure;Data Export / Import;;;Very High;open;Patrick;;;;;;;;;;;;;;;;
50.5;2603;Work Breakdown Structure;Language Test;DE/EN/FR/ES;;High;open;Ulla;;;;;;;;;;;;;;;;
50.1;2603;Posting Period Variant;Change;;;Medium;open;Sabine;;;;;;;;;;;;;;;;
50.2;2603;Posting Period Variant;Create;;;Medium;open;Sabine;;;;;;;;;;;;;;;;
50.3;2603;Posting Period Variant;File Download / Upload;;;Medium;open;Patrick;;;;;;;;;;;;;;;;
50.4;2603;Posting Period Variant;Data Export / Import;;;Medium;open;Patrick;;;;;;;;;;;;;;;;
50.5;2603;Posting Period Variant;Language Test;DE/EN/;;Medium;open;Ulla;;;;;;;;;;;;;;;;
51.1;2603;Company;Change;;;Medium;open;Sabine;;;Exxon;;;;;;;;;;;;;
51.2;2603;Company;Create;;;Medium;open;Sabine;;;Exxon;;;;;;;;;;;;;
51.3;2603;Company;File Download / Upload;;;Medium;open;Patrick;;;Exxon;;;;;;;;;;;;;
51.4;2603;Company;Data Export / Import;;;Medium;open;Patrick;;;Exxon;;;;;;;;;;;;;
51.5;2603;Company;Language Test;DE/EN/;;Medium;open;Ulla;;;Exxon;;;;;;;;;;;;;
52.0;2603;Shipping Point;Create;;;Medium;error;Ulla;;see Open Topics;Intel;;;;;;;;;;;;;
52.1;2603;Shipping Point;Change, Check, Replace, Delete;;;Medium;error;Ulla;;see Open Topics;Intel;;;;;;;;;;;;;
52.2;2603;Shipping Point;Language Test;DE/EN;;Medium;;Ulla;;;;;;;;;;;;;;;;
52.3;2603;Shipping Point;Language Test;FR/ES;;Medium;;Herve;;;;;;;;;;;;;;;;
52.4;2603;Shipping Point;File Download / Upload;;;Medium;;Patrick;;;;;;;;;;;;;;;;
52.5;2603;Shipping Point;Data Export / Import;;;Medium;;Patrick;;;;;;;;;;;;;;;;
53.1;2603;Terms of Payment (complete);Change;;1-Step;Very High;development;Gerd;;;"Exxon/Intel; ab 01.02. im IH1 zu testen.";;;;;;;;;;;;;
53.2;2603;Terms of Payment (complete);Create;;1-Step;Very High;development;Gerd;;;"Exxon/Intel; ab 01.02. im IH1 zu testen.";;;;;;;;;;;;;
53.3;2603;Terms of Payment (complete);File Download / Upload;;General;Very High;development;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
53.4;2603;Terms of Payment (complete);Data Export / Import;;General;Very High;development;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
53.5;2603;Terms of Payment (complete);Language Test;DE/EN;General;High;development;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
53.6;2603;Terms of Payment (complete);Language Test;FR/ES;General;High;development;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
53.7;2603;Terms of Payment (complete);Language Test;ES;General;High;development;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
59.1;2603;Code Value Lists  (Edition);create;;1-Step;Very High;development;Sabine;;;;;;;;;;;;;;;;
59.2;2603;Code Value Lists  (Edition);Change;;1-Step;Very High;development;Sabine;;;;;;;;;;;;;;;;
59.3;2603;Code Value Lists (Edition);File Download / Upload;;;Very High;development;Patrick;;;;;;;;;;;;;;;;
59.4;2603;Code Value Lists  (Edition);Data Export / Import;;;Very High;development;Patrick;;;;;;;;;;;;;;;;
59.5;2603;Code Value Lists  (Edition);Language Test;DE/EN;;Very High;development;Ulla;;;;;;;;;;;;;;;;
59.6;2603;Code Value Lists  (Edition);Language Test;FR/ES;;Very High;development;Ulla;;;;;;;;;;;;;;;;
60.1;2603;Code Value Lists ;create;;1-Step;Very High;open;Sabine;;;ab 28.01. im IH1 zu testen - noch nicht im Launchpad vorhanden;;;;;;;;;;;;;
60.2;2603;Code Value Lists ;Change;;1-Step;Very High;open;Sabine;;;ab 28.01. im IH1 zu testen - noch nicht im Launchpad vorhanden;;;;;;;;;;;;;
60.3;2603;Code Value Lists;File Download / Upload;;;Very High;open;Niklas;;;;;;;;;;;;;;;;
60.4;2603;Code Value Lists;Data Export / Import;;;Very High;open;Niklas;;;;;;;;;;;;;;;;
60.5;2603;Code Value Lists;Language Test;DE/EN;;Very High;development;Ulla;;;;;;;;;;;;;;;;
60.6;2603;Code Value Lists ;Language Test;FR/ES;;Very High;development;Ulla;;;;;;;;;;;;;;;;
100.0 RDG Multiobject;;*******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
101.1;2603;Posting Period Variant & Company & Company Code (MultiObj.CR);Change;;;Very High;open;Ulla;;;;;;;;;;;;;;;;
101.2;2603;Posting Period Variant & Company & Company Code (MultiObj.CR);Create;;;Very High;open;Ulla;;;;;;;;;;;;;;;;
102.1;2603;Payment Term & Day Limit (MultiObj.CR);Change;;;High;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
102.2;2603;Payment Term & Day Limit (MultiObj.CR);Create;;;High;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
103.1;2603;Plant & MRP Area & Storage Location (MultiObj.CR);Change;;;High;error;Ulla;;1101;"Exxon/Intel;";;;;error;;;;;;;;;
103.2;2603;Plant & MRP Area & Storage Location (MultiObj.CR);Create;;;High;error;Ulla;;1101;Exxon/Intel;;;;error;;;;;;;;;
750.0 MDF;;*******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
750.1 RULE;;Configuration ;n.A.;;General;Medium;;Ulla;;;;;;;;;;;;;;;;
751.1 MDF;;ValueMapping;n.A.;;General;Medium;;Maxi;;;;;;;;;;;;;;;;
752.1 MDF;;KeyMapping;n.A.;;General;Medium;;Maxi;;;;;;;;;;;;;;;;
753.1 MDF;;Webservice;n.A.;;General;Low;;Michael;;;;;;;;;;;;;;;;
754.1 MDF;2603;Deletions;n.A.;;General;High;open;Patrick;;;;;;;;;;;;;;;;
755.1 MDF;2603;Searchhelps;n.A.;;General;Very High;open;Gerd;;;;;;;;;;;;;;;;
756.1 MDF;2603;Remote Validierung;n.A.;;General;Very High;development;Gerd;;;;;;;;;;;;;;;;
800.0 RDH;;*******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
801 RDH;2603;Reference Data Harmonization;"Distribution reference data balance sheet structure
 (Mode=Bundle, Changes in Batchjob)";;General;Medium;open;Gerd;;;;;;;;;;;;;;;;
802 RDH;;Reference Data Harmonization;"Distribution reference data balance sheet structure
(Mode=Bundle, Changes)";;General;Medium;;;;;;;;;;;;;;;;;;
803 RDH;;Reference Data Harmonization;Distribution reference Accounts (Mode=Snapshot);;General;Medium;;;;;;;;;;;;;;;;;;
804 RDH;;Reference Data Harmonization;Distribution balance sheet structure (Mode=Bundle);;General;Medium;;;;;;;;;;;;;;;;;;
805 RDH;;Reference Data Harmonization;Distribution balance sheet structure (Mode=Single);;General;Medium;;;;;;;;;;;;;;;;;;
806 RDH;;Reference Data Harmonization;Distribution Company_ID (Mode=Bundle);;General;Medium;;;;;;;;;;;;;;;;;;
807 RDH;;Reference Data Harmonization;Distribution Company_Id (Mode=Bundle with Field reduction);;General;Medium;;;;;;;;;;;;;;;;;;
808 RDH;;Reference Data Harmonization;Distribution Company (Mode=Single);;General;Medium;;;;;;;;;;;;;;;;;;
809 RDH;;Reference Data Harmonization;Distribution Currency (Mode=SnapShot);;General;Medium;;;;;;;;;;;;;;;;;;
810 RDH;;Reference Data Harmonization;Customizing Replication;;General;Medium;;;;;;;;;;;;;;;;;;
811 RDH;;Reference Data Harmonization;Select Transport;;General;High;;Gerd;;;;;;;;;;;;;;;;
812 RDH;;Reference Data Harmonization;Foreign data transfer with Excel import ;;General;High;;Gerd;;;;;;;;;;;;;;;;
850.0 Install & Upgrade;;*******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
851.1 INST;2603;Install ;n.A.;;General;Very High;development;Dieter;;;;;;;;;;;;;;;;
852.1 OLD Release Check;2603;Check Replication to older ;n.A.;;General;Very High;development;Maxi;;;;;;;;;;;;;;;;
853.1 UPGR;2603;Upgrade;n.A.;;General;Very High;development;Dieter;;;;;;;;;;;;;;;;
900.0 Special Tests;;*******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
901.1 DRF;;Data Replication;n.A.;;General;Medium;;Maxi;;;;;;;;;;;;;;;;
902.1 ENH;2603;Enhancements and Upgrade;n.A.;;General;Very High;development;Mike;;;;;;;;;;;;;;;;
903.1 FR/ES;;Translation to FR/ES  ;Language Test;MDF, RDH, DRF;General;Medium;;Ulla;;;;;;;;;;;;;;;;
904.1 SOLMAN;;SolManager Tests;n.A.;;General;Low;;Michael;;;;;;;;;;;;;;;;
905.1 GTS;;GTS Tests;n.A.;;1-Step;Medium;;Michael;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
12.9;2603;Plant;Changeable Keys ;;;High;done  ;Sabine;;;See Issue 625;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
